year,month,borough,district,category,calls
2008,1,Ahuntsic-Cartierville,Ahuntsic,Anomaly - Stationnement,20
2008,1,Ahuntsic-Cartierville,Ahuntsic,Arbre,25
2008,1,Ahuntsic-Cartierville,Ahuntsic,Autre,28
2008,1,Ahuntsic-Cartierville,Ahuntsic,Chien,16
2008,1,Ahuntsic-Cartierville,Ahuntsic,Collecte - Dechets,23
2008,1,Ahuntsic-Cartierville,Ahuntsic,Collecte - Objet Volumineux,15
2008,1,Ahuntsic-Cartierville,Ahuntsic,Collecte - Selective,30
2008,1,Ahuntsic-Cartierville,Ahuntsic,Eau,37
2008,1,Ahuntsic-Cartierville,Ahuntsic,Eclairage,50
2008,1,Ahuntsic-Cartierville,Ahuntsic,Egout,9
2008,1,Ahuntsic-Cartierville,Ahuntsic,Environnement,7
2008,1,Ahuntsic-Cartierville,Ahuntsic,Neige,47
2008,1,Ahuntsic-Cartierville,Ahuntsic,Parc,6
2008,1,Ahuntsic-Cartierville,Ahuntsic,Permis,3
2008,1,Ahuntsic-Cartierville,Ahuntsic,Securite,11
2008,1,Ahuntsic-Cartierville,Ahuntsic,Signalisation,33
2008,1,Ahuntsic-Cartierville,Ahuntsic,Stationnement,13
2008,1,Ahuntsic-Cartierville,Ahuntsic,Taxes,2
2008,1,Ahuntsic-Cartierville,Ahuntsic,Voirie,31
2008,1,Ahuntsic-Cartierville,Bordeaux-Cartierville,Anomaly - Stationnement,8
2008,1,Ahuntsic-Cartierville,Bordeaux-Cartierville,Arbre,17
2008,1,Ahuntsic-Cartierville,Bordeaux-Cartierville,Autre,10
2008,1,Ahuntsic-Cartierville,Bordeaux-Cartierville,Chien,31
2008,1,Ahuntsic-Cartierville,Bordeaux-Cartierville,Collecte - Dechets,36
2008,1,Ahuntsic-Cartierville,Bordeaux-Cartierville,Collecte - Objet Volumineux,18
2008,1,Ahuntsic-Cartierville,Bordeaux-Cartierville,Collecte - Selective,10
2008,1,Ahuntsic-Cartierville,Bordeaux-Cartierville,Eau,24
2008,1,Ahuntsic-Cartierville,Bordeaux-Cartierville,Eclairage,47
2008,1,Ahuntsic-Cartierville,Bordeaux-Cartierville,Egout,12
2008,1,Ahuntsic-Cartierville,Bordeaux-Cartierville,Environnement,5
2008,1,Ahuntsic-Cartierville,Bordeaux-Cartierville,Neige,31
2008,1,Ahuntsic-Cartierville,Bordeaux-Cartierville,Parc,2
2008,1,Ahuntsic-Cartierville,Bordeaux-Cartierville,Permis,4
2008,1,Ahuntsic-Cartierville,Bordeaux-Cartierville,Securite,5
2008,1,Ahuntsic-Cartierville,Bordeaux-Cartierville,Signalisation,27
2008,1,Ahuntsic-Cartierville,Bordeaux-Cartierville,Stationnement,2
2008,1,Ahuntsic-Cartierville,Bordeaux-Cartierville,Taxes,1
2008,1,Ahuntsic-Cartierville,Bordeaux-Cartierville,Voirie,12
2008,1,Ahuntsic-Cartierville,Saint-Sulpice,Anomaly - Stationnement,23
2008,1,Ahuntsic-Cartierville,Saint-Sulpice,Arbre,14
2008,1,Ahuntsic-Cartierville,Saint-Sulpice,Autre,34
2008,1,Ahuntsic-Cartierville,Saint-Sulpice,Chien,5
2008,1,Ahuntsic-Cartierville,Saint-Sulpice,Collecte - Dechets,19
2008,1,Ahuntsic-Cartierville,Saint-Sulpice,Collecte - Objet Volumineux,7
2008,1,Ahuntsic-Cartierville,Saint-Sulpice,Collecte - Selective,7
2008,1,Ahuntsic-Cartierville,Saint-Sulpice,Eau,16
2008,1,Ahuntsic-Cartierville,Saint-Sulpice,Eclairage,50
2008,1,Ahuntsic-Cartierville,Saint-Sulpice,Egout,23
2008,1,Ahuntsic-Cartierville,Saint-Sulpice,Environnement,8
2008,1,Ahuntsic-Cartierville,Saint-Sulpice,Neige,39
2008,1,Ahuntsic-Cartierville,Saint-Sulpice,Parc,10
2008,1,Ahuntsic-Cartierville,Saint-Sulpice,Permis,1
2008,1,Ahuntsic-Cartierville,Saint-Sulpice,Securite,7
2008,1,Ahuntsic-Cartierville,Saint-Sulpice,Signalisation,46
2008,1,Ahuntsic-Cartierville,Saint-Sulpice,Stationnement,5
2008,1,Ahuntsic-Cartierville,Saint-Sulpice,Taxes,5
2008,1,Ahuntsic-Cartierville,Saint-Sulpice,Voirie,25
2008,1,Ahuntsic-Cartierville,Sault-au-Recollet,Anomaly - Stationnement,19
2008,1,Ahuntsic-Cartierville,Sault-au-Recollet,Arbre,20
2008,1,Ahuntsic-Cartierville,Sault-au-Recollet,Autre,29
2008,1,Ahuntsic-Cartierville,Sault-au-Recollet,Chien,12
2008,1,Ahuntsic-Cartierville,Sault-au-Recollet,Collecte - Dechets,24
2008,1,Ahuntsic-Cartierville,Sault-au-Recollet,Collecte - Objet Volumineux,20
2008,1,Ahuntsic-Cartierville,Sault-au-Recollet,Collecte - Selective,17
2008,1,Ahuntsic-Cartierville,Sault-au-Recollet,Eau,9
2008,1,Ahuntsic-Cartierville,Sault-au-Recollet,Eclairage,41
2008,1,Ahuntsic-Cartierville,Sault-au-Recollet,Egout,8
2008,1,Ahuntsic-Cartierville,Sault-au-Recollet,Environnement,8
2008,1,Ahuntsic-Cartierville,Sault-au-Recollet,Neige,55
2008,1,Ahuntsic-Cartierville,Sault-au-Recollet,Parc,7
2008,1,Ahuntsic-Cartierville,Sault-au-Recollet,Permis,1
2008,1,Ahuntsic-Cartierville,Sault-au-Recollet,Securite,6
2008,1,Ahuntsic-Cartierville,Sault-au-Recollet,Signalisation,22
2008,1,Ahuntsic-Cartierville,Sault-au-Recollet,Taxes,2
2008,1,Ahuntsic-Cartierville,Sault-au-Recollet,Voirie,22
2008,1,Anjou,Centre,Arbre,5
2008,1,Anjou,Centre,Autre,23
2008,1,Anjou,Centre,Chien,1
2008,1,Anjou,Centre,Collecte - Dechets,2
2008,1,Anjou,Centre,Collecte - Selective,6
2008,1,Anjou,Centre,Eau,4
2008,1,Anjou,Centre,Eclairage,11
2008,1,Anjou,Centre,Egout,3
2008,1,Anjou,Centre,Environnement,4
2008,1,Anjou,Centre,Neige,4
2008,1,Anjou,Centre,Permis,1
2008,1,Anjou,Centre,Signalisation,12
2008,1,Anjou,Centre,Taxes,4
2008,1,Anjou,Centre,Voirie,5
2008,1,Anjou,Est,Arbre,2
2008,1,Anjou,Est,Autre,15
2008,1,Anjou,Est,Collecte - Dechets,1
2008,1,Anjou,Est,Collecte - Selective,9
2008,1,Anjou,Est,Eau,4
2008,1,Anjou,Est,Eclairage,7
2008,1,Anjou,Est,Egout,3
2008,1,Anjou,Est,Neige,1
2008,1,Anjou,Est,Parc,3
2008,1,Anjou,Est,Permis,3
2008,1,Anjou,Est,Signalisation,4
2008,1,Anjou,Est,Taxes,2
2008,1,Anjou,Est,Voirie,5
2008,1,Anjou,Ouest,Arbre,4
2008,1,Anjou,Ouest,Autre,9
2008,1,Anjou,Ouest,Collecte - Dechets,1
2008,1,Anjou,Ouest,Collecte - Selective,7
2008,1,Anjou,Ouest,Eau,8
2008,1,Anjou,Ouest,Eclairage,1
2008,1,Anjou,Ouest,Egout,3
2008,1,Anjou,Ouest,Environnement,5
2008,1,Anjou,Ouest,Neige,7
2008,1,Anjou,Ouest,Parc,1
2008,1,Anjou,Ouest,Permis,2
2008,1,Anjou,Ouest,Signalisation,20
2008,1,Anjou,Ouest,Voirie,6
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Cote-des-Neiges,Anomaly - Stationnement,80
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Cote-des-Neiges,Arbre,10
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Cote-des-Neiges,Autre,10
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Cote-des-Neiges,Chien,10
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Cote-des-Neiges,Collecte - Dechets,24
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Cote-des-Neiges,Collecte - Objet Volumineux,19
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Cote-des-Neiges,Collecte - Selective,16
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Cote-des-Neiges,Eau,16
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Cote-des-Neiges,Eclairage,8
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Cote-des-Neiges,Egout,9
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Cote-des-Neiges,Environnement,2
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Cote-des-Neiges,Neige,81
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Cote-des-Neiges,Parc,2
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Cote-des-Neiges,Permis,14
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Cote-des-Neiges,Securite,4
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Cote-des-Neiges,Signalisation,35
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Cote-des-Neiges,Stationnement,8
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Cote-des-Neiges,Taxes,3
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Cote-des-Neiges,Voirie,23
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Darlington,Anomaly - Stationnement,15
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Darlington,Arbre,6
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Darlington,Autre,23
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Darlington,Chien,11
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Darlington,Collecte - Dechets,24
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Darlington,Collecte - Objet Volumineux,11
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Darlington,Collecte - Selective,11
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Darlington,Eau,9
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Darlington,Eclairage,10
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Darlington,Egout,5
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Darlington,Environnement,4
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Darlington,Neige,35
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Darlington,Parc,7
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Darlington,Permis,5
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Darlington,Securite,6
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Darlington,Signalisation,29
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Darlington,Stationnement,10
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Darlington,Voirie,12
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Loyola,Anomaly - Stationnement,7
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Loyola,Arbre,31
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Loyola,Autre,19
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Loyola,Chien,11
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Loyola,Collecte - Dechets,18
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Loyola,Collecte - Objet Volumineux,18
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Loyola,Collecte - Selective,29
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Loyola,Eau,36
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Loyola,Eclairage,41
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Loyola,Egout,5
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Loyola,Environnement,5
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Loyola,Neige,39
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Loyola,Parc,5
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Loyola,Permis,16
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Loyola,Securite,1
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Loyola,Signalisation,32
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Loyola,Stationnement,5
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Loyola,Taxes,1
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Loyola,Voirie,16
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Notre-Dame-de-Grace,Anomaly - Stationnement,13
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Notre-Dame-de-Grace,Arbre,19
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Notre-Dame-de-Grace,Autre,25
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Notre-Dame-de-Grace,Chien,20
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Notre-Dame-de-Grace,Collecte - Dechets,37
2008,1,Cote-des-Neiges-Notre-Dame-de-Grace,Notre-Dame-de-Grace,Collecte - Objet Volumineux,21
